,idx,lat,long
912,912,49.25151,23.34439
913,913,49.80234,23.34454
914,914,49.25039,23.34463
915,915,49.24748,23.34471
916,916,49.24704,23.34471
917,917,49.25158,23.34472
918,918,49.2504,23.34477
919,919,49.2501,23.34478
920,920,49.25165,23.3448
921,921,49.24735,23.3448
922,922,49.24959,23.34483
923,923,49.24743,23.34487
924,924,49.25015,23.34491
925,925,49.24959,23.34503
926,926,49.25147,23.34513
927,927,49.25152,23.34522
928,928,49.25123,23.34552
929,929,49.25128,23.34564
930,930,49.25085,23.34582
931,931,49.2509,23.34596
932,932,49.23038,23.34638
933,933,49.2505,23.34638
934,934,49.25057,23.34643
935,935,49.96089,23.34668
936,936,49.75748,23.34675
937,937,49.25033,23.34675
938,938,49.23037,23.34679
939,939,49.25039,23.34683
940,940,49.59559,23.34696
941,941,49.80269,23.34726
942,942,49.93386,23.34824
943,943,49.23097,23.34837
944,944,49.23091,23.34883
945,945,49.95957,23.34941
946,946,49.93388,23.34983
947,947,49.22931,23.3504
948,948,49.95876,23.35054
949,949,49.22889,23.35087
950,950,49.75882,23.35103
951,951,49.79328,23.35123
952,952,49.22809,23.35144
953,953,49.7585,23.35153
954,954,49.2278,23.35157
955,955,49.22507,23.35165
956,956,49.22475,23.35169
957,957,49.22553,23.3517
958,958,49.22719,23.3517
959,959,49.22659,23.35172
960,960,49.22432,23.35188
961,961,49.22406,23.35208
962,962,49.24928,23.35226
963,963,49.24918,23.35229
964,964,49.22366,23.35274
965,965,49.95681,23.35284
966,966,49.22353,23.3531
967,967,49.24896,23.35321
968,968,49.24901,23.35332
969,969,49.2298,23.35339
970,970,49.22306,23.35393
971,971,49.59823,23.35411
972,972,49.22288,23.35414
973,973,49.93455,23.35435
974,974,49.22281,23.35442
975,975,49.95513,23.35479
976,976,49.22277,23.35503
977,977,49.24763,23.35507
978,978,49.24769,23.3552
979,979,49.8035,23.35537
980,980,49.23791,23.35542
981,981,49.2472,23.35584
982,982,49.23792,23.35589
983,983,49.2473,23.35592
984,984,49.22283,23.35632
